question,combined_answer,combined_score,combined_correct,self_answer,self_score,self_correct,cons_answer,cons_score,cons_correct,token_answer,token_score,token_correct
Who was the man behind The Chipmunks?,ross bagdasarian sr,0.73,False,Ross Bagdasarian Sr.,0.87,False,ross bagdasarian sr,0.6,False,ross bagdasarian sr,0.7237,False
Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,0.81,True,Sunset Boulevard,0.79,True,sunset boulevard,0.8,True,sunset boulevard,0.8369,True
Who was the next British Prime Minister after Arthur Balfour?,sir henry campbellbannerman,0.52,True,Herbert Henry Asquith,0.72,False,sir henry campbellbannerman,0.5,True,henry campbellbannerman,0.9346,False
Who had a 70s No 1 hit with Kiss You All Over?,exile,0.93,True,Exile,0.79,True,exile,1.0,True,exile,0.993,True
What claimed the life of singer Kathleen Ferrier?,breast cancer,0.78,True,Cancer,0.71,True,breast cancer,0.6,True,breast cancer,0.9597,True
Rita Coolidge sang the title song for which Bond film?,octopussy,0.85,True,Octopussy,0.59,True,octopussy,0.9,True,octopussy,0.9984,True
What was the last US state to reintroduce alcohol after prohibition?,mississippi,0.71,False,Mississippi,0.73,False,mississippi,0.4,False,mississippi,0.9165,False
Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,0.6,True,Lauren Bacall,0.62,True,lauren bacall,0.2,True,lauren bacall,0.891,True
What is the Japanese share index called?,nikkei 225,0.94,True,Nikkei 225,0.85,True,nikkei 225,1.0,True,nikkei 225,0.9643,True
What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,0.67,True,Moonwalk,0.56,True,moonwalk,0.8,True,moonwalk,0.6498999999999999,True
In which decade did stereo records first go on sale?,1950s,0.68,False,1958,0.62,False,1950s,0.8,False,1958,0.6332,False
In what year's Olympics were electric timing devices and a public-address system used for the first time?,1936,0.67,False,1936,0.79,False,1936,0.3,False,1936,0.8685,False
Which volcano in Tanzania is the highest mountain in Africa?,mount kilimanjaro,0.92,True,Kilimanjaro,0.95,True,mount kilimanjaro,0.9,True,kilimanjaro,0.9196,True
The flag of Libya is a plain rectangle of which color?,green,0.7,True,Green,0.83,True,green,0.3,True,green,0.8931,True
Of which African country is Niamey the capital?,niger,0.95,True,Niger,0.83,True,niger,1.0,True,niger,0.9954,True
Who was the director of the CIA from 1976-81?,stansfield turner,0.94,False,Stansfield Turner,0.83,False,stansfield turner,1.0,False,stansfield turner,0.9812,False
Which musical featured the song The Street Where You Live?,my fair lady,0.97,True,My Fair Lady,0.89,True,my fair lady,1.0,True,my fair lady,0.9997,True
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",adolf hitler,0.51,True,Winston Churchill,0.62,False,adolf hitler,0.5,True,adolf hitler,0.8962,True
Who had an 80s No 1 hit with Hold On To The Nights?,richard marx,0.83,True,Dennis DeYoung,0.72,False,richard marx,1.0,True,richard marx,0.7736000000000001,True
Who directed the classic 30s western Stagecoach?,john ford,0.95,True,John Ford,0.95,True,john ford,1.0,True,john ford,0.9178,True
Dave Gilmore and Roger Waters were in which rock group?,pink floyd,0.9,True,Pink Floyd,0.95,True,pink floyd,1.0,True,pink floyd,0.7974,True
Which highway was Revisited in a classic 60s album by Bob Dylan?,highway 61,0.89,True,Highway 61,0.89,True,highway 61,0.8,True,highway 61,0.9514,True
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,romania,0.86,True,Romania,0.81,True,romania,0.8,True,romania,0.9529,True
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,0.82,True,Wild Palms,0.42,True,wild palms,1.0,True,wild palms,0.9839,True
If I Were A Rich Man Was a big hit from which stage show?,fiddler on the roof,0.94,True,Fiddler on the Roof,0.95,True,fiddler on the roof,0.9,True,fiddler on the roof,0.9508,True
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,mutiny on the bounty,0.83,True,Mutiny on the Bounty,0.95,True,mutiny on the bounty,0.5,True,mutiny on the bounty,0.9992,True
What was Truman Capote's last name before he was adopted by his stepfather?,Capote,0.22,False,Capote,0.73,False,lane,0.1,False,long,0.14039999999999997,False
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",a boojum,0.78,True,a Boojum,0.83,True,a boojum,0.7,True,a boojum,0.8075,True
"In the Bible, who did the sun and moon stand still before?",joshua,0.94,True,Joshua,0.95,True,joshua,0.9,True,joshua,0.9675,True
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,dangerous minds,0.9,True,Dangerous Minds,0.79,True,dangerous minds,0.9,True,dangerous minds,0.9813,True
What was President Gerald Ford's middle name?,Gerald Rudolph Ford Jr.,0.28,True,Gerald Rudolph Ford Jr.,0.95,True,ellsworth,0.2,False,ellison,0.5818,False
Art Garfunkel trained for which profession although he didn't qualify?,dentistry,0.4,False,medicine,0.72,False,dentistry,0.2,False,dentistry,0.8604,False
Who was the last inmate of Spandau jail in Berlin?,gustav wagenfuhr,0.21,False,"John George Haigh's nemesis, Rudolf Hess and John George Haigh were both executed but there is evidence that the last inmate to be held at Spandau Prison was actually Rudolf Hess. However, some sources suggest it could have been another prisoner.",0.43,True,oskar fischer,0.1,False,gustav wagenfuhr,0.5136000000000001,False
What was Eddie Murphy's first movie?,48 hrs,0.85,False,48 Hrs.,0.83,True,48 hrs,0.7,False,48 hrs,0.9718,True
In the 80s who wrote the novel Empire of The Sun?,jg ballard,0.95,True,J.G. Ballard,0.85,True,jg ballard,1.0,True,jg ballard,0.9834,True
Kagoshima international airport is in which country?,japan,0.8,True,Japan,0.95,True,japan,1.0,True,japan,0.5441,True
In which sport could the Pacers take on the Pistons?,basketball,0.92,True,Basketball,0.95,True,basketball,0.9,True,basketball,0.914,True
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,wind beneath my wings,0.39,False,Angel Is a Madman,0.62,False,an american star is born,0.1,False,wind beneath my wings,0.9853,False
Where in Canada is the Lion's Gate bridge?,vancouver british columbia,0.82,True,"Vancouver, British Columbia",0.83,True,vancouver british columbia,0.6,True,vancouver,0.9836,True
What was Walter Matthau's first movie?,strangers on a train 1951,0.67,False,Strangers on a Train (1951),0.74,False,strangers on a train 1951,0.6,False,strangers on a train 1951,0.6656,False
Otis Barton was a pioneer in exploring where?,the worlds oceans using submersibles,0.53,False,the deep ocean,0.83,True,the worlds oceans using submersibles,0.1,False,the deep ocean,0.6228,True
Where in England was actor Nigel Hawthorne born?,derbyshire,0.45,False,Essex,0.58,False,derbyshire,0.2,False,derbyshire,0.9655,False
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",manticore,0.62,True,Manticore,0.79,True,basilisk,0.3,False,manticore,0.9626,True
"In Greek mythology, who were Arges, Brontes and Steropes?",the cyclopes,0.82,True,"The Cyclopes, three one-eyed giants.",0.73,True,the cyclopes,0.7,True,the cyclopes,0.988,True
Which musician founded the Red Hot Peppers?,anthony kiedis,0.42,False,"Anthony Kiedis, Flea and others but primarily Anthony Kiedis is known as the lead vocalist.",0.53,False,anthony kiedis,0.2,False,anthony kiedis,0.9052,False
Where did the Shinning Path terrorists operate?,peru,0.66,True,Peru,0.83,True,peru,0.3,True,peru,0.8064,True
How old was Jimi Hendrix when he died?,27 years old,0.75,True,27 years old,0.92,True,27 years old,0.7,True,27 years,0.6606000000000001,True
Which Brit broke the land speed record in 1990 in Thrust 2?,richard noble,0.87,True,Richard Noble,0.79,True,richard noble,1.0,True,richard noble,0.8229,True
In which state was Gene Vincent born?,virginia,0.74,True,Virginia,0.65,True,virginia,0.6,True,virginia,0.9228,True
How was the European Recovery Program in the 1940s more commonly known?,the marshall plan,0.96,True,The Marshall Plan,0.93,True,the marshall plan,1.0,True,marshall plan,0.9647,True
Brandon Lee died during the making of which movie?,the crow,0.96,True,The Crow,0.95,True,the crow,1.0,True,the crow,0.9323,True
Who had a 70s No 1 hit with Let's Do It Again?,the staple singers,0.89,True,The Staple Singers,0.65,True,the staple singers,1.0,True,the staple singers,0.9935,True
Who had a Too Legit To Quit Tour?,mc hammer,0.95,True,MC Hammer,0.83,True,mc hammer,1.0,True,mc hammer,0.9999,True
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",triumph and defeat,0.72,False,Success and Failure,0.83,False,triumph and defeat,0.4,False,triumph and defeat,0.8727,False
Who is the most successful UK solo artist in the USA?,elton john,0.86,True,Elton John,0.85,True,elton john,0.8,True,elton john,0.9048,True
Which country does the airline TAAG come from?,angola,0.91,True,Angola,0.73,True,angola,1.0,True,angola,0.9682,True
Which US No 1 single came from Diana Ross's platinum album Diana?,upside down,0.62,True,Upside Down,0.75,True,im coming out,0.4,False,upside down,0.9822,True
River Phoenix died during the making of which movie?,dark blood,0.5,True,Dark Blood,0.62,True,dark blood,0.4,True,darkness falls,0.47629999999999995,False
Which artist David was born in Bradford UK?,david hockney,0.88,True,David Hockney,0.72,True,david hockney,1.0,True,david hockney,0.9221,True
What is Mel Gibson's middle name?,gerard,0.44,False,Edward,0.59,False,gerard,0.3,False,gerard,0.871,False
Richard Daley was mayor of which city for 21 years?,chicago,0.88,True,Chicago,0.93,True,chicago,0.9,True,chicago,0.8207,True
"""In which movie did Garbo say, """"I want to be alone"""".""",grand hotel,0.81,True,Grand Hotel (1932),0.83,True,grand hotel,0.8,True,grand hotel,0.8003,True
What is Osbert Lancaster best known for producing?,his cartoons and drawings of london architecture,0.32,True,"Cartoonist and author of the 'Punch' magazine books, particularly 'They Came to a City' and 'The Orwellian Collected Works'.",0.67,False,his cartoons and drawings of london architecture,0.1,True,cartoons,0.7224999999999999,True
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,chris evertlloyd,0.41,False,Chris Evert,0.79,False,chris evertlloyd,0.5,False,chris evertlloyd,0.6594,False
Who was the first US-born winner of golf's British Open?,holmes,0.23,False,Richard S. Tufts,0.65,False,holmes,0.1,False,ben hogan,0.8485,False
In which country is the Sky Train Rail bridge?,thailand,0.76,False,Thailand,0.73,False,thailand,0.6,False,thailand,0.914,False
What was the Paramount Film Company originally called?,the famous players film company,0.62,True,Adolph Zukor's Famous Players Film Company,0.75,True,the famous players film company,0.2,True,famous players,0.835,True
Who was the first person after Scott to reach the South Pole overland?,roald amundsen,0.79,False,Roald Amundsen,0.95,False,roald amundsen,0.4,False,roald amundsen,0.9544,False
Which journalist first told the world about the My Lai massacre?,seymour hersh,0.95,True,Seymour Hersh,0.85,True,seymour hersh,1.0,True,seymour hersh,0.98,True
What is the name of Terence and Shirley Conran's dress designer son?, Jasper Conran,0.22,True, Jasper Conran,0.72,True,stephen conran,0.2,False,benjamin,0.5811,False
Which drink did The Spice Girls promote?,pepsi,0.56,True,Pepsi,0.72,True,pepsi,0.4,True,pepsi max,0.5641,True
Who was the youngest brother in the Beach Boys?,carl wilson,0.68,True,Carl Wilson,0.62,True,carl wilson,0.7,True,carl wilson,0.7148,True
Who first hosted Family Feud?,richard dawson,0.94,True,Richard Dawson,0.92,True,richard dawson,1.0,True,richard dawson,0.9166,True
What did the Lone Ranger's title Kemo Sabe mean in Apache?,trusted friend,0.66,False,Trusted Friend,0.82,False,trusted friend,0.3,False,trusted friend,0.8101,False
Who or what was Gentle Ben in the 60s TV series?,a giant brown bear,0.49,True,"a black bear named Gentle Ben, who was the pet of a young boy named Mark Wedloe in the 1967-69 TV series",0.74,False,a giant brown bear,0.2,True,a giant brown bear,0.5158,False
Which 70s show was based on the British show Till Death Us Do Part?,all in the family,0.87,True,All in the Family,0.79,True,all in the family,0.9,True,all in the family,0.8976,True
On what date in 1969 did Neil Armstrong first set foot on the Moon?,july 20 1969,0.68,True,"July 20, 1969",0.95,True,july 20 1969,0.6,True,july 20th,0.5474,True
Bandar Seri Begawan International airport is in which country?,brunei,0.91,True,Brunei,0.85,True,brunei,1.0,True,brunei,0.8994,True
What was the profession of Paul Strand (1890 - 1976)?,photographer,0.77,True,Photographer,0.83,True,photographer,0.5,True,photographer,0.9398,True
Who had a 60s No 1 with Downtown?,petula clark,0.85,True,Petula Clark,0.83,True,petula clark,0.9,True,petula clark,0.8398,True
"Who was born first, Kiefer Sutherland or Christian Slater?",kiefer sutherland,0.93,True,Kiefer Sutherland,0.78,True,kiefer sutherland,1.0,True,kiefer sutherland,0.9828,True
"To the nearest two, how many tennis Grand Slam titles did Jimmy Connors win?",8,0.68,False,8,0.73,False,8,0.4,False,eight,0.8597,False
Who was the Georgia Peach?,ty cobb,0.62,True,Ty Cobb,0.85,True,ty cobb,0.1,True,ty cobb,0.8319,True
Who set fire to his guitar at the Monterey Pop festival in 19676?,jimi hendrix,0.97,True,Jimi Hendrix,0.95,True,jimi hendrix,1.0,True,jimi hendrix,0.9737,True
Della Street was whose secretary?,perry masons,0.8,True,Perry Mason's,0.95,True,perry masons,0.8,True,perry masons,0.6968,True
"In music, who was Sweet and Innocent and Too Young?",connie francis,0.8,False,Connie Francis,0.75,False,connie francis,0.7,False,connie francis,0.9186,False
Who is featured on Puff Daddy's Can't Hold Me Down?,mase,0.29,True,"Jimmy Page and Mary J. Blige, but specifically Jimmy Page does not appear on the song, it was a rumor.",0.57,False,mase,0.3,True,mase,0.5073,True
What had Edmond Hillary worked at before taking up mountain climbing?,royal new zealand air force,0.42,False,Royal New Zealand Air Force and Oxford University,0.79,False,royal new zealand air force,0.2,False,royal new zealand air force,0.8958,False
In which American state is the Isabella Stewart Gardner Museum?,massachusetts,0.95,True,Massachusetts,0.93,True,massachusetts,1.0,True,massachusetts,0.926,True
Benina international airport is in which country?,libya,0.9,True,Libya,0.78,True,libya,1.0,True,libya,0.9208,True
Beloved in 1999 was whose first movie since The Color Purple in 1985?,Whoopi Goldberg,0.25,False,Whoopi Goldberg,0.83,False,octavia spencer,0.1,False,moniques,0.6732,False
Which Star Trek star directed Three Men and a Baby?,leonard nimoy,0.78,True,Leonard Nimoy,0.43,True,leonard nimoy,1.0,True,leonard nimoy,0.8738,True
Which sitcom star appeared on the big screening The Object of My Affection?,jennifer aniston,0.27,True,Jennifer Aniston,0.59,True,jennifer aniston,0.3,True,penny marshall,0.5294,False
"""Which character did Julia """"Roberts play in Steven Spielberg's Hook?""",tinkerbell,0.32,True,Tinker Bell,0.65,True,tinker bell,0.2,True,tinkerbell,0.7905,True
Which US president did Anthony Hopkins play in a film whose title was simply his name?,nixon,0.85,True,Nixon,0.83,True,nixon,1.0,True,nixon,0.7484,True
Which movie was a biopic about the life of David Helfgott?,shine,0.91,True,Shine,0.92,True,shine,0.9,True,shine,0.9111,True
Which film director guested as the FBI Director in The Silence of the Lambs?,jonathan demme,0.83,False,Jonathan Demme,0.95,False,jonathan demme,0.6,False,jonathan demme,0.9018,False
In which sci fi classic did the space ship Nostromo first appear?,alien 1979,0.79,True,Alien (1979),0.85,True,alien 1979,0.6,True,alien,0.879,True
Nigel Hawthorne was Oscar nominated for The Madness of which King?,george iii,0.68,True,George III,0.95,True,george iii,0.4,True,george iii,0.6806,True
Which Swedish actress won the Best Supporting Actress Oscar for Murder on the Orient Express?,ingrid bergman,0.83,True,Ingrid Bergman,0.85,True,ingrid bergman,0.6,True,ingrid bergman,0.999,True
Which Oscar-nominated film had You Sexy Thing as its theme song?,the full monty,0.57,True,Scott Pilgrim vs. the World,0.58,False,the full monty,0.2,True,the full monty,0.8446,True
Which Joan's career revived in Whatever Happened to Baby Jane?,bette davis,0.57,False,Bette Davis,0.85,False,joan crawford,0.4,True,bette davis,0.7916,False
Which much-loved actor won the Best Actor Oscar for The Philadelphia Story?,james stewart,0.76,True,James Stewart,0.78,True,james stewart,0.7,True,james stewart,0.7799,True
Which legendary dancer was Oscar-nominated for The Towering Inferno?,fred astaire,0.66,True,Fred Astaire,0.42,True,fred astaire,0.7,True,fred astaire,0.8012,True
What was the name of the brothel in The Best Little Whorehouse in Texas?,the chicken ranch,0.64,True,The Chicken Ranch,0.79,True,the chicken ranch,0.3,True,the chicken ranch,0.7931,True
Who was the male star of the movie The Man of La Mancha?,peter otoole,0.91,True,Peter O'Toole,0.85,True,peter otoole,1.0,True,peter otoole,0.8853,True
What relation is Joey Richardson to Vanessa Redgrave?,daughterinlaw,0.47,True,"Joey Richardson is a child of Vanessa Redgrave's daughter, Karis Goddard.",0.42,True,daughterinlaw,0.3,True,daughterinlaw,0.6343,True
Melanie Molitor is the mom of which tennis world NO 1?,martina hingis,0.71,True,Martina Hingis,0.73,True,martina hingis,0.3,True,martina hingis,0.993,True
Marc Dutroux hit the headlines over a 'house of horrors' in which country?,belgium,0.93,True,Belgium,0.83,True,belgium,1.0,True,belgium,0.9647,True
On which date in 1945 did Hitler take cyanide then shoot himself?,april 30th,0.78,True,"April 30, 1945",0.95,True,april 30th,0.7,True,april 30th,0.7005,True
In which river is the Boulder Dam?,colorado river,0.79,True,Colorado River,0.72,True,colorado river,1.0,True,colorado river,0.688,True
"Which sports event was first held at Worcester, Massachusetts in 1927?",worcester marathon,0.27,False,The Boston Marathon,0.63,False,modern pentathlon world championships,0.1,False,worcester marathon,0.6728000000000001,False
In which European city is the Belvederen Gallery?,vienna,0.46,True,"Vatican City, Rome",0.72,False,vienna,0.4,True,vienna,0.8558,True
How old was Woody Herman when he founded his own orchestra?,Woody Herman was 29 years old when he founded his own orchestra.,0.18,False,Woody Herman was 29 years old when he founded his own orchestra.,0.59,False,20 years old,0.3,False,25 years,0.4577,False
For which movie did Katharine Hepburn win her second Oscar?,guess whos coming to dinner,0.63,True,Guess Who's Coming to Dinner (1967),0.59,True,guess whos coming to dinner,0.8,True,guess whos coming to dinner,0.9829,True
Who had a 60s No 1 hit with This Diamond Ring?,gary lewis and the playboys,0.77,True,Gary Lewis and the Playboys,0.73,True,gary lewis and the playboys,0.9,True,gary lewis and the playboys,0.7106,True
The world was first aware of the Chernobyl disaster after detectors were triggered at a nuclear plant in which country?,sweden,0.71,True,Ukraine,0.8,False,sweden,0.4,True,ukraine,0.8757,False
In which country was the first permanent bungee jumping site situated?,new zealand,0.9,True,New Zealand,0.73,True,new zealand,1.0,True,new zealand,0.9636,True
Who succeeded Brezhnev as Soviet premier?,andropov,0.76,True,Yuri Andropov,0.83,True,andropov,0.4,True,andropov,0.98,True
In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,baby food packaging,0.51,False,the baby monitor,0.72,False,baby food packaging,0.2,False,baby monitor,0.5942000000000001,False
In which city's shipyard was Solidarity set up?,gdańsk,0.85,True,Gdańsk,0.73,True,gdańsk,0.9,True,gdańsk,0.9133,True
Which female singer was born on exactly the same day as impressionist Rich Little?,diana ross,0.29,False,Sheryl Crow,0.43,False,aretha franklin and joan rivers,0.1,False,diana ross,0.733,False
What is Harrison Ford's real name?,Alan Wilmar Franklin Ford,0.29,False,Alan Wilmar Franklin Ford,0.98,False,william richard ford,0.1,False,william thomas ford,0.16949999999999998,False
Who's home runs record did Mark McGwire break in the 1998 season?,roger maris,0.3,True,"Roger Maris' home run record of 61 was broken by Mark McGwire, who hit 70 home runs in the 1998 season",0.67,True,roger maris record,0.4,True,roger maris,0.7603,True
Who won baseball's first World Series of the 80s?,philadelphia phillies,0.88,True,Philadelphia Phillies,0.82,True,philadelphia phillies,1.0,True,philadelphia phillies,0.8244,True
What was Pete Sampras seeded when he won his first US Open?,1st,0.51,False,1,0.69,True,second,0.2,False,1st,0.7671,False
"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",rocky marciano,0.47,True,Joe Louis,0.73,False,rocky marciano,0.6,True,rocky marciano,0.7291000000000001,True
Where did Jonathan Edwards set his 1995 triple jump world record?,i couldnt find any information on a jonathan edwards setting a 1995 triple jump world record,0.38,False,"Gateshead International Stadium, England",0.43,False,i couldnt find any information on a jonathan edwards setting a 1995 triple jump world record,0.1,False,turin,0.8778,False
"In baseball, where do the Orioles come from?",baltimore,0.79,True,"Baltimore, Maryland",0.95,True,baltimore,0.5,True,baltimore,0.8974,True
The Naismith Award is presented in which sport?,college basketball,0.72,True,College Basketball,0.78,False,college basketball,0.4,True,basketball,0.9039,True
Which cartoon and film character is the nickname of super athlete Michael Johnson?,flash,0.54,False,The Road Runner,0.45,False,flash,0.3,False,the road runner,0.7991,False
For which team did Babe Ruth blast his last Major League home run?,boston red sox,0.37,False,Boston Red Sox,0.72,False,boston red sox,0.5,False,boston braves,0.7396,True
What was Warren Beatty's first movie?,splendor in the grass 1961,0.69,True,Splendor in the Grass (1961),0.72,True,splendor in the grass 1961,0.3,True,splendor in the grass,0.954,True
"Which future Hollywood star got her break as Wonder Girl, Wonder Woman's sister Drusilla?",debra messing,0.32,False,Zoe Kravitz,0.32,False,debra messing,0.4,False,debra messing,0.7971,False
Mickey Braddock in the 50s series Circus Boy found fame with which surname in which pop band?,harrison,0.28,False,Harrison,0.73,False,harrison,0.2,False,the tremeloes,0.48160000000000003,False
Which war veteran was Director of News & Special Events for ABC before find fame as a TV cop?,jack webb,0.44,False,George Kennedy,0.65,False,jack webb,0.2,False,jack webb,0.9484,False
What US sitcom was the first exported to Britain?,i love lucy,0.66,False,"Fawlty Towers is often cited as an influence, but it was actually 'The Dick Van Dyke Show' that was one of the first US sitcoms to be exported to Britain.",0.67,False,i love lucy,0.9,False,i love lucy,0.9862,False
In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,john astin,0.8,True,John Astin,0.75,True,john astin,0.6,True,john astin,0.9789,True
Who was the only female victim to be killed off in the opening credit sequence in Police Squad?,Edith Johnson,0.24,False,Edith Johnson,0.8,False,emily wilson,0.1,False,sgt esterhauss wife,0.43279999999999996,False
Which US president won the Nobel Peace Prize in 1920?,woodrow wilson,0.63,True,Warren G. Harding,0.29,False,woodrow wilson,1.0,True,woodrow wilson,0.8363,True
Who beat Tim Henman in his first Wimbledon singles semifinal?,pete sampras,0.78,True,Pete Sampras,0.75,True,pete sampras,0.6,True,pete sampras,0.9324,True
What relation was Flo Jo to Jackie Joyner Kersee?,longtime rivals and friends,0.44,False,Friend and rival,0.72,False,longtime rivals and friends,0.1,False,friend and rival,0.4758,False
How long was swimmer Michelle Smith-de Bruin banned for attempting to manipulate a drugs test?,4 years,0.33,True,2 years,0.6,False,3 months and 10 days suspended,0.1,False,4 years,0.8366,True
Yuan Yuan was caught carrying drugs for which Chinese team?,chinese national football team,0.25,False,Chinese national basketball team,0.57,False,chinese national football team,0.2,False,chinese national football team,0.48340000000000005,False
Which grand slam did Pete Sampras not win in the 20th century?,french open,0.56,True,US Open,0.79,False,french open,0.8,True,french open,0.804,True
In which events did Gert Fredriksson win six Olympic gold medals?,Canoing,0.19,True,Canoing,0.63,True,k1 10000 m and k1 1000 m canoe sprints,0.1,False,canoeing and kayaking,0.5266,True
"How many of his 45 races did Mike Hawthorn, a former Formula One motor racing world champion, win?",3,0.78,True,3,0.79,True,3,0.6,True,three,0.9121,True
